60316, 3861, 1231, -93, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60353, 3880, 1184, -50, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60390, 3929, 1193, 98, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60428, 4042, 1325, 349, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60467, 3983, 1971, 95, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60506, 3844, 2896, -544, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60545, 3498, 3607, -706, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60584, 3651, 3919, -1132, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60624, 3526, 4130, -2090, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60663, 3799, 4176, -2665, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60702, 3437, 4662, -3405, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60741, 3542, 4172, -3407, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60780, 3181, 3852, -3539, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60820, 2310, 3570, -3518, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60858, 1908, 2841, -3045, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60897, 802, 2177, -2603, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60936, 260, 1906, -2051, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
60975, -102, 1667, -1665, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61014, -994, 1636, -1461, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61052, -1413, 1171, -1384, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61091, -2329, 840, -1181, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61130, -2686, 1024, -1497, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61169, -2645, 957, -1750, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61208, -2789, 973, -1292, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61244, -2979, 845, -1490, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61280, -3457, 880, -1650, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61316, -3070, 915, -1579, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61353, -3354, 802, -1747, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61389, -3376, 1008, -1757, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61425, -3288, 703, -1745, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61461, -3446, 896, -1814, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61498, -3333, 887, -1828, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61534, -3455, 741, -1978, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61570, -3370, 1007, -2053, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61607, -3397, 959, -2215, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61647, -3370, 1042, -2231, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61688, -3407, 1007, -2363, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61728, -3446, 1122, -2386, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61769, -3355, 1145, -2419, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61810, -3336, 1020, -2490, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61850, -3227, 1104, -2497, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
61891, -3183, 1085, -2506, 52, 9936a58b-d6fb-451e-befe-41e36fb693b9, , transisi, transisi_berdiri_ke_qunut, , 
