134302, 3760, 1717, -74, 107, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134334, 3728, 1716, -78, 107, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134373, 3757, 1772, -90, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134413, 3799, 1788, -14, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134453, 3767, 1821, 125, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134493, 3776, 1823, 142, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134533, 3757, 2017, 611, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134573, 3690, 2217, 157, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134613, 3762, 2673, -76, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134653, 3817, 2922, -348, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134693, 3706, 2928, -494, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134733, 3491, 3642, -745, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134773, 3486, 3653, -1121, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134813, 3139, 3799, -1228, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134854, 2728, 3808, -1564, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134894, 2095, 3410, -2004, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134935, 1682, 3925, -2349, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
134975, 1504, 3509, -2276, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135015, 898, 3185, -2666, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135056, 368, 3188, -2643, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135096, -63, 2744, -2552, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135137, -500, 2394, -2438, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135172, -915, 2127, -2507, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135207, -1118, 1947, -2173, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135242, -1539, 1776, -2147, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135278, -1798, 1687, -2187, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
135313, -1956, 1656, -2014, 108, c6460a0f-f26f-4ca6-a174-653a6c9d981b, , transisi, transisi_berdiri_ke_qunut, , 
