91794, 2796, 1161, 2847, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
91834, 2844, 1144, 2754, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
91875, 2838, 1272, 2853, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
91916, 2671, 1257, 2832, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
91952, 2758, 1300, 2947, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
91989, 2629, 1173, 2940, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92026, 2621, 1184, 2979, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92063, 2606, 1221, 2977, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92100, 2623, 1215, 2967, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92136, 2641, 1240, 2971, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92173, 2636, 1256, 2946, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92210, 2768, 1117, 2978, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92247, 2710, 1219, 2998, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92284, 2573, 1345, 2986, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92321, 2547, 1304, 2977, 75, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92361, 2527, 1367, 3039, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92401, 2482, 1243, 3048, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92441, 2475, 1322, 3092, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92482, 2471, 1233, 3077, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92522, 2487, 1218, 3120, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92562, 2371, 1285, 3135, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92603, 2422, 1198, 3191, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92643, 2357, 1236, 3160, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92683, 2407, 1223, 3210, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92724, 2273, 1153, 3238, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92762, 2299, 1060, 3259, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92801, 2157, 1088, 3335, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92840, 2327, 1086, 3266, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92879, 2232, 1087, 3397, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92918, 2363, 1358, 3344, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92957, 2584, 1322, 3725, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
92996, 3084, 1552, 3903, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93035, 3704, 869, 3749, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93074, 4419, 518, 2487, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93113, 6278, 1382, 755, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93152, 5024, 439, 183, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93190, 3745, -503, 557, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93229, 3376, -192, 1447, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93268, 2457, 375, 1678, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93307, 2301, 358, 2063, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93346, 2919, 1112, 2069, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93385, 4655, 1707, 2851, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93424, 2812, 1200, 1247, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
93463, 3031, 1831, 1447, 74, 1825f5a8-1e65-4f61-bec5-9bea5ea879a2, , transisi, transisi_sujud_ke_duduk, , 
