169800, 2808, 1042, 2881, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
169838, 2799, 975, 2846, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
169876, 2776, 1033, 2832, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
169915, 2752, 1135, 3061, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
169954, 2604, 1177, 3084, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
169993, 2636, 1132, 2990, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170032, 2578, 1153, 3050, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170071, 2476, 1249, 3037, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170110, 2508, 1249, 3133, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170149, 2488, 976, 3165, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170188, 2434, 1124, 3147, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170227, 2401, 1205, 3187, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170266, 2396, 1176, 3200, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170305, 2369, 1197, 3199, 102, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170342, 2376, 1321, 3132, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170380, 2348, 1080, 3229, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170417, 2254, 868, 3407, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170455, 2216, 620, 3439, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170492, 2222, 781, 3566, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170530, 2053, 695, 3771, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170567, 2208, 1054, 4035, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170605, 2494, 1124, 4488, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170642, 3472, 1199, 2860, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170680, 4547, 25, 3350, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170718, 5511, -427, 2160, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170759, 5401, 484, 1053, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170801, 3563, -271, 1122, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170842, 3529, -727, 1698, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170884, 2831, -221, 1608, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170926, 2198, -49, 1572, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
170967, 6856, -1974, 13111, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
171009, 5625, -923, 1577, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
171050, 2998, -753, 1049, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
171092, 3005, 179, 1411, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
171134, 2795, 1224, 2542, 101, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
171172, 2994, 2137, 3186, 99, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
171211, 2846, 853, 2461, 99, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
171249, 2378, 570, 3313, 99, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
171288, 2072, 1001, 3549, 99, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
171327, 2251, 738, 2944, 99, a944c46b-4ff7-410f-b6a5-173f25cdb424, , transisi, transisi_sujud_ke_duduk, , 
