63577, 1636, 1414, 3541, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63614, 1662, 1426, 3533, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63651, 1565, 1551, 3540, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63688, 1490, 1671, 3572, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63730, 1318, 1688, 3565, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63772, 1430, 1673, 3572, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63814, 1306, 1686, 3562, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63856, 1275, 1638, 3601, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63898, 1337, 1586, 3572, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63940, 1421, 1536, 3575, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
63982, 1383, 1550, 3574, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64024, 1477, 1626, 3550, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64066, 1373, 1652, 3541, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64109, 1396, 1663, 3554, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64147, 1349, 1637, 3585, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64186, 1360, 1635, 3579, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64225, 1385, 1597, 3630, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64263, 1287, 1694, 3586, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64302, 1246, 1733, 3575, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64341, 1237, 1733, 3674, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64380, 1259, 1715, 3594, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64418, 1062, 1790, 3635, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64457, 1299, 1541, 3750, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64496, 1782, 1700, 3307, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64535, 1523, 1814, 4244, 55, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64573, 2231, 1654, 3368, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64611, 3417, 1594, 3664, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64649, 3671, 993, 4073, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64688, 4404, 1479, 3238, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64726, 4113, 1539, 2515, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64764, 3811, 2099, 1541, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64803, 3280, 1139, 1240, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64841, 2394, 1336, 1585, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64879, 1677, 1573, 1257, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64918, 2094, 1765, 649, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64953, 8954, -3918, 7029, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
64989, 3651, 4722, 3148, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65024, 1085, 3228, 1207, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65060, 962, 1305, 1213, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65095, 2257, 721, 2904, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65131, 2991, 1691, 3429, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65166, 2706, 1283, 3019, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65202, 2044, 261, 3574, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65237, 1378, -337, 3154, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65273, 1463, -550, 3764, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65309, 1807, 483, 4658, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
65347, 2199, 1265, 3069, 59, 08736734-7852-4ce7-a5ad-ef5e5c8cf966, , transisi, transisi_sujud_ke_duduk, , 
