135897, 2862, 1400, 2694, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
135936, 2917, 1393, 2771, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
135976, 2974, 1246, 2683, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136016, 2919, 1269, 2630, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136055, 2812, 1099, 2556, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136095, 2756, 1261, 2697, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136135, 2722, 1144, 2727, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136175, 2928, 1324, 3000, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136211, 2526, 1441, 2937, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136247, 2598, 1318, 3036, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136283, 2530, 1462, 3085, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136319, 2374, 1489, 3144, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136355, 2340, 1384, 3140, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136392, 2249, 1364, 3206, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
136428, 2169, 1345, 3282, 99, 0e598332-9881-46ec-a082-9fdecb00de20, , transisi, transisi_sujud_ke_duduk, , 
