198613, 2804, 1515, 2643, 103, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198647, 2880, 1508, 2604, 103, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198681, 2863, 1502, 2613, 103, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198715, 2799, 1636, 2589, 103, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198749, 2834, 1563, 2557, 103, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198784, 2808, 1541, 2641, 103, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198826, 2814, 1538, 2617, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198868, 2854, 1493, 2666, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198911, 2804, 1554, 2617, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198953, 2793, 1586, 2648, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
198996, 2839, 1493, 2646, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199038, 2810, 1515, 2670, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199080, 2749, 1501, 2670, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199123, 2819, 1531, 2676, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199165, 2756, 1537, 2655, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199208, 2764, 1537, 2715, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199243, 2747, 1516, 2670, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199278, 2735, 1525, 2715, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199313, 2702, 1575, 2716, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199348, 2711, 1633, 2693, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199383, 2828, 1432, 2687, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199419, 2847, 1468, 2525, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199454, 2935, 1641, 2596, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199489, 2861, 1390, 2558, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199524, 3043, 1736, 2728, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199559, 2797, 1577, 2300, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199595, 2547, 2065, 2491, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199633, 3084, 1380, 2729, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199672, 2955, 1216, 2558, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199711, 3232, 1661, 3052, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199750, 3211, 823, 2310, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199789, 3409, 1579, 2838, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199828, 3860, 1332, 2008, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199867, 3383, 1364, 1577, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199906, 3964, 1283, 1770, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199945, 3751, 760, 722, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
199984, 3917, 1345, 1262, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200026, 3586, 442, 1070, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200069, 3906, 777, 1441, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200111, 3793, 1127, 1205, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200154, 3695, 517, 1283, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200197, 3853, 937, 1374, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200239, 3904, 279, 914, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200282, 3607, 395, 944, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200324, 4760, 373, 2678, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200367, 4344, -170, 2761, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200410, 1819, 442, 1499, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200444, 4642, 388, 1347, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200479, 3708, 406, 1533, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200514, 3853, 1237, 1279, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200549, 3955, 1254, 1278, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200584, 3578, 844, 1143, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200619, 3765, 1261, 1513, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200654, 3650, 1019, 1533, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200689, 3493, 649, 1763, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200724, 3457, 654, 1581, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200759, 3572, 710, 1844, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200794, 3631, 809, 2004, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200837, 3495, 1047, 1856, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200880, 3472, 881, 2182, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200924, 3151, 1055, 2287, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
200967, 3161, 790, 2238, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201011, 3017, 1043, 2723, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201054, 3043, 852, 2481, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201097, 3052, 973, 2664, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201141, 3084, 1076, 2440, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201184, 3246, 1035, 2728, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201228, 2847, 1106, 2890, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201264, 2815, 1119, 3067, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201301, 2352, 1474, 2947, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201338, 2795, 1733, 2617, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201374, 2465, 1565, 3221, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201411, 1654, 1464, 3089, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201448, 1737, 1871, 3045, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201484, 2589, 1646, 2750, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201521, 2506, 2016, 2856, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201558, 2386, 1987, 2675, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201595, 2565, 2080, 2618, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201629, 2572, 2154, 2596, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201664, 2540, 2020, 2552, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201699, 2629, 1767, 2583, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201734, 2585, 2140, 2482, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
201769, 2818, 2082, 2379, 104, ea5a129a-d985-44ac-a475-428732a59501, , transisi, transisi_sujud_ke_duduk, , 
