177481, 2235, 2089, 2894, 79, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177517, 2191, 2012, 2838, 79, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177554, 2240, 1862, 2834, 79, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177591, 2228, 2262, 2761, 79, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177632, 2161, 2271, 2789, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177673, 2200, 2271, 2752, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177715, 2215, 2242, 2729, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177756, 2192, 2129, 2771, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177798, 2114, 2235, 2816, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177839, 2145, 2194, 2803, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177880, 2156, 2161, 2843, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177922, 2188, 2168, 2823, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
177963, 2092, 2176, 2839, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178005, 2084, 2159, 2901, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178043, 2095, 2176, 2909, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178081, 2102, 2129, 2921, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178119, 2087, 2187, 3043, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178157, 2002, 2278, 2930, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178195, 2177, 2359, 3102, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178233, 2230, 2263, 3185, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178271, 2131, 2251, 2195, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178309, 2549, 2552, 3076, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178347, 2485, 1981, 3812, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178386, 3080, 2168, 3395, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178424, 3714, 2691, 3481, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178462, 3951, 2187, 3311, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178501, 3362, 1766, 2624, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178539, 3250, 1610, 2069, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178578, 2890, 1420, 1891, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178616, 2609, 1121, 1825, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178655, 2202, 1352, 1631, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178693, 1758, 1488, 1414, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178732, -364, 3151, 7646, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178770, 1953, 705, 2854, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178809, 516, 2967, 2490, 81, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178844, 609, 2258, 2794, 82, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
178879, 1038, 2627, 3300, 82, 14addbab-186f-4f7c-9a13-929ad6a7c3e5, , transisi, transisi_sujud_ke_duduk, , 
