163189, 2684, 2790, 1600, 99, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163231, 2484, 2824, 1654, 99, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163273, 2557, 2690, 1748, 99, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163315, 2514, 2699, 1934, 99, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163357, 2385, 2759, 2023, 99, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163399, 2442, 2491, 2169, 99, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163441, 2076, 2735, 2302, 99, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163483, 1854, 2601, 2563, 99, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163525, 1867, 2702, 2578, 99, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163560, 1705, 2533, 2773, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163596, 1546, 2649, 2816, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163631, 1451, 2543, 2890, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163667, 1508, 2493, 2952, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163702, 1349, 2572, 3007, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163738, 1172, 2410, 3160, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163773, 1042, 2485, 3249, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163809, 1125, 2152, 3360, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163844, 1048, 2169, 3520, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163880, 1022, 1992, 3466, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163916, 1168, 2226, 3492, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163956, 1067, 2630, 3413, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
163996, 1347, 2496, 3488, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164036, 2115, 1967, 3124, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164077, 3108, 1958, 3131, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164117, 4303, 3073, 2275, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164157, 5325, 2450, 1675, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164198, 4774, 1337, 2098, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164238, 3850, 286, 2395, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164278, 2840, 867, 2061, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164319, 2876, -744, 2786, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164358, 2676, 184, 2016, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164398, 2761, 850, 1725, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164437, 2879, 859, 1016, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164477, 3936, 1021, 6216, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164517, 987, 2268, 1944, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164556, 1086, 2250, 1303, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164596, 1885, 1899, 1832, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164635, 1830, 2356, 3417, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
164675, 1931, 1896, 3485, 100, f8d18893-ed84-4a23-84c9-9970871270e0, , transisi, transisi_sujud_ke_duduk, , 
