299567, 3147, 2541, 870, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299605, 3156, 2577, 876, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299643, 3134, 2524, 879, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299681, 3121, 2489, 898, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299719, 3230, 2424, 1052, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299757, 3025, 2736, 760, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299795, 3128, 2408, 1058, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299833, 3162, 2491, 1057, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299871, 3016, 2646, 1081, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299910, 3073, 2558, 1108, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299953, 3022, 2680, 1240, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
299996, 2982, 2557, 1274, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300039, 2895, 2656, 1336, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300082, 2979, 2488, 1393, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300125, 2802, 2641, 1429, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300168, 2894, 2558, 1547, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300212, 2793, 2585, 1572, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300255, 2753, 2583, 1650, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300298, 2716, 2721, 1650, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300341, 2709, 2661, 1654, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300384, 2527, 2703, 1828, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300427, 2497, 2693, 1929, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300471, 2449, 2622, 2031, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300506, 2344, 2746, 2095, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300542, 2360, 2632, 2114, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300578, 2320, 2637, 2148, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300614, 2299, 2669, 2228, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300650, 2233, 2770, 2184, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300686, 2206, 2736, 2197, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300722, 2214, 2692, 2285, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300758, 2047, 3018, 2107, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300794, 2039, 2800, 2364, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300830, 2031, 2902, 2370, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300866, 2022, 2897, 2662, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300902, 2439, 3149, 2836, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300938, 2966, 2314, 2503, 95, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
300977, 3863, 2178, 2572, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301016, 5498, 2837, 1512, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301055, 7081, 3410, 911, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301094, 4974, 544, 1555, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301133, 1856, 838, 1348, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301172, 2321, 212, 1975, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301211, 1862, -213, 1135, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301250, 2589, -1513, -1762, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301289, 1788, -728, 3198, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301328, 1119, 1424, 2183, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301367, 1841, 1470, 2615, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301406, 2069, 1711, 2657, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301446, 2780, 1872, 1825, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301484, 2596, 3010, 2427, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301522, 2279, 2201, 2475, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301560, 2638, 2680, 2651, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301599, 2366, 2154, 2451, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301637, 2413, 2359, 2531, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301675, 2204, 2025, 2325, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301714, 2411, 2657, 2678, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301752, 2293, 2357, 2272, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301790, 2204, 2922, 2467, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301829, 2270, 2525, 2247, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301867, 2064, 2632, 2289, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301905, 2138, 2635, 2466, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301944, 2141, 2562, 2263, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
301982, 2180, 2656, 2413, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302020, 2183, 2624, 2346, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302058, 2029, 2799, 2305, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302097, 1905, 2703, 2448, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302135, 1613, 2678, 2347, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302173, 1636, 3066, 2434, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302212, 1374, 2905, 2462, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302250, 1353, 3042, 2491, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302288, 1247, 3097, 2551, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302327, 1209, 3054, 2583, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302365, 1182, 2994, 2620, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302403, 1210, 2928, 2613, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302442, 1337, 2970, 2504, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302479, 1509, 2970, 2407, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
302517, 1584, 2925, 2418, 96, bf0d0247-44f2-449f-8aff-0e4cf0dd7bd4, , transisi, transisi_sujud_ke_duduk, , 
