134010, 2813, 1314, 2764, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134051, 2840, 1273, 2739, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134093, 2860, 1368, 2720, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134135, 2813, 1337, 2758, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134177, 2881, 1350, 2735, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134219, 2794, 1367, 2779, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134260, 3001, 1114, 2695, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134302, 2677, 1392, 2844, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134344, 2681, 1388, 2788, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134386, 2735, 1379, 2758, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134428, 2776, 1497, 2704, 100, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134461, 2702, 1316, 2828, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134495, 2769, 1398, 2758, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134529, 2778, 1124, 2955, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134562, 2595, 1298, 2845, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134596, 2701, 1402, 2852, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134630, 2686, 1474, 2812, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134664, 2706, 1446, 2778, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134697, 2638, 1593, 2778, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134731, 2707, 1461, 2806, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134765, 2691, 1440, 2549, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134799, 2734, 1536, 2738, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134842, 2773, 1558, 2664, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134886, 2870, 1540, 2680, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134929, 2860, 1586, 2576, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
134973, 2794, 1499, 2650, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135016, 2907, 1337, 2597, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135060, 2936, 1244, 2720, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135103, 3023, 1116, 2712, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135147, 2963, 1211, 2785, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135190, 3019, 1194, 2561, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135234, 3005, 1195, 2434, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135271, 2904, 1676, 2815, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135309, 3010, 398, 2502, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135347, 3248, 2232, 2921, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135384, 3197, 799, 1667, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135422, 3717, 2026, 2187, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135460, 3834, 917, 2356, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135497, 3819, 1036, 2118, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135535, 3653, 529, 1324, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135573, 3594, 657, 1389, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
135611, 3740, 953, 1451, 99, a215dc07-1567-472f-8e4f-7abe66316e04, , transisi, transisi_sujud_ke_duduk, , 
