102374, 2055, 2270, 2788, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102421, 1940, 2178, 2660, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102454, 1967, 2364, 2779, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102487, 1969, 2593, 2783, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102521, 1937, 2568, 2754, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102554, 2042, 2389, 2698, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102587, 2043, 2489, 2621, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102621, 2074, 2431, 2681, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102654, 2015, 2436, 2711, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102687, 1989, 2370, 2754, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102721, 2012, 2364, 2734, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102754, 2007, 2314, 2725, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102788, 2022, 2350, 2755, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102826, 2023, 2293, 2799, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102865, 2027, 2353, 2769, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
102904, 2003, 2279, 2835, 90, 60dfb8ae-51bf-4d7d-9809-1fa67be4ea83, , transisi, transisi_sujud_ke_duduk, , 
