243750, 2591, 2463, 2239, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
243790, 2375, 2499, 2169, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
243829, 2456, 2573, 2284, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
243869, 2397, 2442, 2414, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
243908, 2823, 1539, 1756, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
243948, 2330, 2623, 2686, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
243987, 2283, 2516, 2416, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244027, 2364, 2318, 2540, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244063, 2414, 2378, 2874, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244099, 2411, 2311, 2590, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244135, 2234, 2347, 2190, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244171, 2157, 2169, 2574, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244207, 2082, 2210, 2830, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244243, 2064, 2079, 2792, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244279, 2101, 1882, 2715, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244315, 2057, 1855, 2826, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244351, 2062, 1872, 3114, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244387, 2412, 1921, 3391, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244427, 2415, 1799, 3486, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244468, 2832, 1609, 3095, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244508, 2704, 1551, 3092, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244549, 2571, 1686, 3700, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244590, 2756, 1370, 3236, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244630, 3846, 1879, 4666, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244671, 1721, 1557, 3242, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244711, 1090, 1546, 3046, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244752, 1600, 1524, 3050, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244793, 1367, 1862, 2858, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244830, 2026, 1589, 2981, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244867, 2183, 1662, 3263, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244905, 2150, 1981, 3332, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244942, 1551, 2330, 2362, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
244980, 1188, 2160, 2051, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245017, 955, 2236, 2692, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245055, 793, 2202, 4095, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245092, 1523, 2333, 4011, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245130, 1786, 2339, 2838, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245167, 2126, 2141, 2851, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245205, 2073, 1989, 2704, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245243, 2106, 2051, 2966, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245281, 1740, 1565, 2700, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245319, 1463, 2297, 3075, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245358, 1825, 2149, 3100, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245396, 1912, 2547, 3046, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
245434, 1942, 1880, 2918, 80, 03658ceb-efa4-48d7-bb62-eb05bf0cd7e1, , transisi, transisi_sujud_ke_duduk, , 
