99515, 3696, 1577, 1343, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99555, 3547, 1575, 1323, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99595, 3599, 1508, 1419, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99630, 3516, 1617, 1518, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99665, 3315, 1838, 1648, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99701, 3331, 1739, 1748, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99736, 3355, 1736, 1734, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99771, 3261, 1778, 1842, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99807, 3247, 1772, 1877, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99842, 3198, 1830, 1949, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99877, 3104, 1862, 2012, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99913, 3092, 1894, 2076, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99948, 2989, 1869, 2152, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
99984, 2956, 1851, 2243, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100024, 2918, 1859, 2278, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100065, 2870, 1844, 2347, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100106, 2840, 1878, 2396, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100147, 2746, 1866, 2467, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100188, 2717, 1877, 2503, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100229, 2621, 1898, 2561, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100270, 2607, 1909, 2648, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100311, 2549, 1839, 2710, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100352, 2550, 1908, 2857, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100393, 2462, 1745, 2828, 116, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100431, 2680, 1565, 2936, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100470, 2884, 1424, 2982, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100509, 3491, 1195, 2890, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100547, 4945, 1025, 2461, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100586, 6058, 1260, 2192, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100625, 6110, 1137, 1730, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
100663, 5409, 58, 1606, 117, 73a86b5a-c2d3-483f-a299-6c60410bbdbd, , transisi, transisi_sujud_ke_duduk, , 
