285167, 2987, 760, 2847, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285200, 2874, 857, 2952, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285233, 2852, 778, 2938, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285276, 2840, 735, 3075, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285320, 2727, 807, 3142, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285364, 2532, 789, 3170, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285408, 2458, 811, 3139, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285452, 2444, 828, 3215, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285496, 2602, 870, 3245, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285540, 2606, 760, 3231, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285584, 2448, 760, 3356, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285628, 2396, 733, 3343, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285672, 2309, 686, 3415, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285705, 2271, 773, 3435, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285739, 2257, 696, 3440, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285773, 2156, 748, 3434, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285807, 2142, 663, 3657, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285841, 2068, 729, 3509, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285874, 2181, 658, 3440, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
285908, 2321, 577, 3453, 94, 72ab5e52-789c-4b07-9018-9bea3c2231e6, , transisi, transisi_sujud_ke_duduk, , 
