186106, 3489, 2010, 1251, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186144, 3543, 1910, 1206, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186181, 3192, 2172, 1321, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186218, 3344, 1879, 1417, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186256, 3319, 1980, 1544, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186293, 3012, 2262, 1802, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186330, 2943, 2229, 1962, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186368, 2890, 2191, 2055, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186409, 2915, 2115, 2007, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186450, 2819, 2193, 2078, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186491, 2756, 2238, 2207, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186532, 2712, 2165, 2293, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186573, 2688, 2151, 2325, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186614, 2616, 2180, 2413, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186655, 2695, 2060, 2362, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186696, 2787, 2061, 2290, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186737, 2564, 2198, 2526, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
186778, 2624, 1999, 2532, 100, cb271416-ab09-4cbe-89ca-cd7fa056976b, , transisi, transisi_sujud_ke_duduk, , 
