185750, 3243, 1085, 2533, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
185788, 3007, 969, 2626, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
185827, 2907, 801, 2787, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
185866, 2966, 1044, 2681, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
185905, 3068, 983, 2553, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
185942, 2900, 1236, 2686, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
185979, 2861, 1330, 2704, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186017, 2977, 1177, 2799, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186054, 2663, 1292, 2883, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186091, 2749, 1304, 2897, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186129, 2633, 1389, 2907, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186166, 2654, 1321, 2828, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186203, 2654, 1334, 2874, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186241, 2727, 1227, 2848, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186278, 2709, 1287, 2900, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186316, 2828, 1217, 2869, 100, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186355, 2759, 1269, 2930, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186394, 2639, 1300, 2886, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186434, 2464, 1477, 2863, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186473, 2490, 1382, 3018, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
186513, 2635, 1260, 2964, 99, 65274d1d-f457-4e45-825c-b1d70104249c, , transisi, transisi_sujud_ke_duduk, , 
