70158, 2841, 2684, 1177, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70196, 2796, 2770, 1186, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70235, 2704, 2858, 1315, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70273, 2638, 2852, 1380, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70311, 2646, 2834, 1444, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70350, 2497, 2842, 1546, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70388, 2465, 2867, 1713, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70427, 2426, 2735, 1874, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70463, 2297, 2813, 2012, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70500, 2112, 2744, 2060, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70537, 2130, 2889, 2068, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70573, 1986, 2791, 2273, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70610, 1888, 2820, 2405, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70647, 1670, 2782, 2453, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70684, 1609, 2748, 2665, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70720, 1530, 2722, 2877, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70757, 1376, 2985, 2817, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70794, 1265, 2830, 2877, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70831, 1431, 2807, 2866, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70872, 1528, 2603, 2965, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70913, 1795, 2867, 2740, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70954, 1987, 2976, 2746, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
70996, 2497, 2506, 2547, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71037, 3237, 2216, 2569, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71078, 3557, 2223, 2295, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
71120, 5618, 3577, 1378, 49, 4967990f-9e83-415e-8015-b2baae488ea9, , transisi, transisi_sujud_ke_duduk, , 
