365149, 2854, 1029, 2847, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365186, 2833, 1070, 2839, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365223, 2822, 1146, 2832, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365262, 2843, 1061, 2781, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365302, 2802, 1193, 2797, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365342, 2720, 1303, 2420, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365381, 2822, 1117, 2812, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365421, 2836, 1179, 2795, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365461, 2797, 1177, 2799, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365500, 2836, 1073, 2776, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365540, 2855, 968, 2750, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365580, 2860, 1058, 2853, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365620, 2851, 937, 2935, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365658, 2791, 981, 2992, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365696, 2773, 914, 2977, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365735, 2605, 1037, 2996, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365773, 2619, 781, 3166, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365812, 2383, 1056, 3244, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
365850, 2302, 1023, 3281, 81, 9dd57d0c-cbe1-4181-b23f-90bb2685152a, , transisi, transisi_sujud_ke_duduk, , 
