143700, 1633, 1471, 3458, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
143736, 1687, 1564, 3456, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
143773, 1848, 1574, 3419, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
143811, 1646, 1924, 3345, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
143850, 1337, 2213, 3294, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
143889, 1830, 1883, 3570, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
143928, 1274, 1797, 3564, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
143967, 1028, 2066, 3449, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144006, 1272, 1851, 3506, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144045, 1145, 1785, 3545, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144084, 1063, 1909, 3515, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144123, 929, 1895, 3520, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144162, 1035, 1755, 3569, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144203, 999, 1592, 3734, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144244, 1095, 1621, 3720, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144285, 1216, 1552, 3709, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144326, 1216, 1423, 3705, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144368, 1288, 755, 3689, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144409, 999, 2636, 3622, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144450, 4359, 2045, 6032, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144491, 5615, 1268, 4029, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144532, 4901, 3370, 3414, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144574, 4022, 1166, 2096, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144608, 3428, 1322, 1041, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144643, 2938, 746, 626, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144678, 2012, 978, 1497, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144713, 2567, 920, 3740, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144748, -1977, 489, 2273, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144783, 3614, 443, 3778, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144818, -1741, 3814, 5105, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144853, 374, -761, 2144, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144888, 878, 567, 3574, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144923, 1023, 1631, 2725, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144958, 654, 1778, 2887, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
144998, 1322, 999, 4426, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145039, 1020, 1787, 3751, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145079, 680, 1922, 3079, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145120, 800, 1536, 3238, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145160, 608, 2107, 3722, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
145201, 711, 2406, 3552, 100, 65b0dc41-5929-40fb-8bfe-cf20c223312c, , transisi, transisi_sujud_ke_duduk, , 
