288866, 2861, 2735, 1203, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
288905, 2836, 2737, 1289, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
288943, 2802, 2737, 1148, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
288981, 3044, 2574, 1317, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289019, 2956, 2622, 1403, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289058, 2840, 2585, 1504, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289096, 2924, 2496, 1467, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289134, 2885, 2415, 1617, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289173, 2875, 2483, 1712, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289210, 2791, 2519, 1789, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289248, 2773, 2451, 1906, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289285, 2732, 2442, 1939, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289323, 2580, 2467, 2016, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289361, 2564, 2501, 2161, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289398, 2509, 2405, 2148, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289436, 2468, 2387, 2315, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289473, 2294, 2394, 2422, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289511, 2356, 2281, 2489, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289549, 2288, 2427, 2481, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289585, 2272, 2444, 2456, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289622, 2291, 2396, 2458, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289659, 2296, 2497, 2442, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289695, 2385, 2311, 2493, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289732, 2337, 2418, 2596, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289769, 2356, 2166, 2639, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289806, 2346, 2558, 2741, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289842, 2859, 2370, 2731, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289879, 3256, 1943, 2714, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289916, 4377, 1367, 2396, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
289953, 4430, 1875, 1946, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290001, 4325, 1080, 2015, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290050, 4814, 403, 2315, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290098, 4289, 181, 2113, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290147, 2985, 4, 2051, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290196, 2016, 290, 2634, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290244, 2767, -640, 3065, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290293, 2758, 347, 2299, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290341, 3314, 125, 2421, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290390, 2967, -56, 2823, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290439, 2060, 2955, 6458, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290470, 1845, -729, 2788, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290501, 845, 930, 2840, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290532, 1650, 1315, 3133, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
290563, 2061, 1092, 3122, 76, 2f92886e-ff8c-4b5d-8861-2d4f1ff4cd76, , transisi, transisi_sujud_ke_duduk, , 
