249083, 3074, 2537, 802, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249121, 3179, 2442, 900, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249159, 2939, 2761, 860, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249198, 2972, 2694, 1008, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249236, 2968, 2616, 1049, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249274, 2818, 2569, 1101, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249312, 3086, 2721, 1458, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249350, 2796, 2734, 1250, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249388, 2682, 2776, 1406, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249427, 2684, 2776, 1497, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249464, 2613, 2751, 1614, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249502, 2528, 2749, 1700, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249539, 2412, 2875, 1786, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249577, 2344, 2851, 1801, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249614, 2317, 2884, 1901, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249652, 2242, 2890, 1970, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249689, 2171, 2883, 2000, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249727, 2160, 2826, 2093, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249764, 2164, 2905, 2127, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249802, 2127, 2788, 2230, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249839, 2124, 2947, 2265, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249877, 2069, 2792, 2372, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249915, 2281, 2925, 2490, 90, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249955, 2404, 2781, 2306, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
249996, 2732, 2503, 2202, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250037, 3706, 2837, 2717, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250078, 5419, 2797, 1872, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250119, 5921, 1913, 1806, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250160, 5725, 1654, 1706, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
250200, 3579, 631, 1566, 91, b0853c84-de2e-49df-874c-c69116788087, , transisi, transisi_sujud_ke_duduk, , 
