142776, 3649, 1489, 1121, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
142813, 3764, 1526, 1150, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
142850, 3663, 1555, 1140, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
142887, 3681, 1566, 1394, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
142924, 3557, 1619, 1456, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
142961, 3576, 1300, 1650, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
142999, 3517, 1400, 1646, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143037, 3543, 1353, 1704, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143076, 3379, 1478, 1832, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143114, 3472, 1444, 1817, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143153, 3388, 1492, 1812, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143192, 3402, 1592, 1823, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143230, 3363, 1647, 1863, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143269, 3404, 1495, 1895, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143307, 3302, 1553, 2017, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143346, 3345, 1436, 1996, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143385, 3329, 1347, 2121, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143427, 3329, 1442, 2043, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143469, 3375, 1333, 2097, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143511, 3272, 1381, 2070, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143553, 3539, 1304, 2248, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143595, 3426, 1958, 2364, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143637, 3940, 1078, 2318, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143679, 4639, 567, 2490, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143721, 6075, 266, 1383, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143763, 5592, 85, 756, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143805, 4732, -838, 890, 89, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143842, 3695, -995, 1635, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143879, 2611, -784, 1890, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143916, 3065, -467, 2245, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143954, 2902, -244, 1582, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
143991, 2666, -221, 1240, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
144028, 2199, 203, 2160, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
144065, 1578, 3890, 3977, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
144103, 1399, -2759, 3672, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
144140, 1462, 2520, 3240, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
144177, 1239, 1126, 3309, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
144215, 1920, 1029, 3268, 85, cd9819ed-3f43-4545-83b4-03e2a2f5d10d, , transisi, transisi_sujud_ke_duduk, , 
