53530, 3291, 2041, 1435, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53564, 3336, 1996, 1501, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53598, 3267, 2038, 1446, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53632, 3255, 2073, 1574, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53666, 3186, 2026, 1597, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53701, 3073, 2119, 1730, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53740, 3035, 2023, 1874, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53779, 2948, 2053, 2071, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53818, 2714, 2141, 2184, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53857, 2645, 2201, 2250, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53896, 2643, 2161, 2349, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53935, 2518, 2347, 2357, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
53974, 2455, 2378, 2361, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54013, 2355, 2428, 2419, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54052, 2278, 2393, 2455, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54091, 2212, 2436, 2619, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54132, 2143, 2274, 2707, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54173, 2070, 2354, 2805, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54214, 2084, 2334, 2800, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54255, 2073, 2339, 2914, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54296, 2284, 2264, 2933, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54337, 2888, 2268, 2708, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54378, 3309, 1546, 3164, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54419, 3630, 2583, 2541, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54460, 6652, 2107, 668, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
54501, 6300, 2302, 1465, 69, bfd51ec3-3d53-4658-a618-8964a2cfef4c, , transisi, transisi_sujud_ke_duduk, , 
