184966, 3357, 2301, 382, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185007, 3390, 2299, 333, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185048, 3346, 2387, 436, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185089, 3366, 2352, 454, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185131, 3419, 2385, 572, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185172, 3391, 2279, 557, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185213, 3315, 2288, 628, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185254, 3376, 2345, 756, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185296, 3274, 2437, 815, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185337, 3281, 2297, 870, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185378, 3161, 2315, 858, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185419, 3222, 2517, 1168, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185461, 3162, 2445, 1126, 94, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185497, 3092, 2463, 1214, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185533, 3008, 2562, 1313, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185569, 2889, 2600, 1382, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185605, 2880, 2603, 1468, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185642, 2762, 2695, 1590, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185678, 2700, 2666, 1641, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185714, 2643, 2623, 1739, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185750, 2600, 2681, 1856, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185787, 2572, 2685, 1889, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185823, 2510, 2655, 1972, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185859, 2574, 2472, 1985, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185895, 2631, 2747, 2114, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
185932, 2054, 2994, 2081, 95, 81736f32-8acf-48a8-bdd9-dc17718d0ed5, , transisi, transisi_sujud_ke_duduk, , 
