133286, 3796, 1156, 1119, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133323, 3805, 1149, 1141, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133359, 3803, 1138, 1078, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133396, 3782, 1230, 1175, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133433, 3847, 1127, 1170, 101, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133472, 3735, 1268, 1247, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133511, 3800, 917, 1009, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133550, 3670, 1261, 1014, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133589, 3657, 1574, 640, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133628, 3770, 1012, 1430, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133667, 3785, 1111, 1262, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133706, 3685, 1207, 1337, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133745, 3725, 1066, 1662, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133784, 3698, 975, 1647, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133824, 3649, 1032, 1731, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133866, 3565, 1153, 1844, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133909, 3536, 1066, 1862, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133951, 3497, 1136, 1912, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
133994, 3526, 1063, 1991, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
134037, 3506, 1011, 2032, 102, ea2758a3-1999-4d14-9ae9-a55b551514b3, , transisi, transisi_sujud_ke_duduk, , 
