115100, 2481, 2318, 2417, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115137, 2449, 2239, 2328, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115174, 2487, 2206, 2336, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115218, 2501, 2523, 2369, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115263, 2550, 2422, 2304, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115308, 2566, 2353, 2270, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115352, 2576, 2312, 2358, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115397, 2552, 2275, 2369, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115442, 2562, 2285, 2345, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115486, 2588, 2260, 2367, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115531, 2616, 2207, 2464, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115576, 2537, 2271, 2455, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115621, 2515, 2285, 2482, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115656, 2510, 2321, 2519, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115691, 2429, 2407, 2483, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115726, 2391, 2626, 2574, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115761, 2451, 2676, 2674, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115796, 2430, 2477, 2460, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115831, 2354, 2740, 2392, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115866, 2300, 2573, 2270, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115901, 2840, 2606, 2033, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115936, 2335, 2551, 2637, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
115971, 2494, 2088, 2962, 71, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116007, 2836, 1651, 3172, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116043, 3343, 1529, 3270, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116080, 3805, 1913, 3221, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116116, 3705, 1492, 2765, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116153, 3444, 2016, 2062, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116189, 3439, 731, 2263, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116226, 2926, 483, 2040, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116262, 2055, 558, 1531, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116299, -1505, 7498, 7733, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116335, 2981, 737, 2339, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116372, 441, 926, 2598, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116411, 464, 4925, 2050, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116450, 1440, 905, 4170, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116489, 997, 1996, 3080, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116528, 1427, 2280, 3241, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
116567, 1602, 2311, 3151, 69, 5ee8a078-ed02-4648-9970-03037c12dd3b, , transisi, transisi_sujud_ke_duduk, , 
