37672, 1886, 1929, 3095, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
37715, 1957, 2055, 3139, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
37757, 1905, 2067, 3137, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
37800, 1829, 2032, 3024, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
37842, 1957, 1861, 2960, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
37884, 1908, 2221, 3072, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
37927, 1936, 2052, 3071, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
37969, 1863, 2135, 3154, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38012, 1956, 2195, 2947, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38050, 2059, 1968, 2986, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38088, 2016, 2024, 3093, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38126, 2000, 2022, 3091, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38164, 2031, 1941, 3098, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38202, 2044, 1926, 3128, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38240, 2003, 1881, 3133, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38278, 1899, 1945, 3205, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38316, 2246, 1727, 3120, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38354, 1315, 1763, 3473, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38392, 1727, 2007, 3243, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38428, 2389, 1873, 3406, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38465, 2105, 2463, 3224, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38502, 3413, 2239, 3190, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38538, 4062, 2280, 3043, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38575, 3821, 2238, 2829, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38612, 3673, 1639, 2848, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38649, 3285, 1349, 2507, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38685, 2799, 1060, 2677, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38722, 2426, 1819, 2625, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38759, 1709, 1300, 2643, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38796, 1757, 1687, 2771, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38833, 1649, 2056, 2749, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38870, 1386, 1701, 2845, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38907, 457, 3731, 3775, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38944, 1472, 905, 3297, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
38981, 1132, 2103, 2371, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39018, 889, 1788, 2249, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39055, 1099, 2160, 3903, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39092, 1043, 2297, 3539, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39129, 1387, 2127, 3236, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39167, 1917, 2315, 3262, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39203, 2165, 2102, 3046, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39240, 2476, 1881, 2882, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39277, 2416, 1724, 2540, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39314, 1910, 894, 2038, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39351, 2070, 1011, 2624, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39388, 2325, 2412, 3712, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39425, 2070, 1889, 3304, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
39462, 2501, 1963, 3056, 104, b50a5996-654f-40e9-bece-920f501687ea, , transisi, transisi_sujud_ke_duduk, , 
