252288, 3559, 1264, 1703, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252324, 3552, 1271, 1718, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252361, 3545, 1286, 1719, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252398, 3538, 1295, 1752, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252435, 3543, 1274, 1710, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252475, 3528, 1273, 1717, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252516, 3508, 1316, 1755, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252556, 3506, 1301, 1835, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252597, 3468, 1365, 1853, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252638, 3376, 1438, 1926, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252678, 3298, 1490, 2018, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252719, 3263, 1584, 2060, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252759, 3241, 1541, 2023, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252800, 3220, 1551, 2143, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252841, 3056, 1662, 2187, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252879, 3084, 1608, 2283, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252918, 3019, 1774, 2355, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252956, 3048, 1700, 2361, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
252995, 2987, 1719, 2339, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253033, 3019, 1670, 2360, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253072, 2923, 1761, 2375, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253110, 3003, 1616, 2340, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253149, 2997, 1685, 2378, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253187, 3009, 1656, 2304, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253226, 3047, 1704, 2292, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253265, 3013, 1714, 2264, 74, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253302, 3056, 1703, 2242, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253339, 3037, 1674, 2169, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253376, 3107, 1626, 2284, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253414, 3022, 1809, 2196, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253451, 3088, 1671, 2233, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253488, 3058, 1775, 2218, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253526, 3042, 1749, 2235, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253563, 3119, 1733, 2203, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253600, 3174, 1747, 2226, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253638, 3199, 1651, 2019, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253678, 3744, 1726, 2107, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253718, 3193, 929, 3819, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253758, 5577, 3551, 778, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253799, 5621, 461, 1052, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253839, 5010, -263, 1902, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253879, 3492, 1165, 2883, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253920, 3420, 1092, 3535, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
253960, 3374, 1337, 3535, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254000, 3335, 1406, 1926, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254041, 3147, 1096, 2500, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254078, 2465, 748, 1915, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254115, 2094, 395, 1092, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254152, 3254, 1773, 6204, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254189, 1742, 1093, 2642, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254226, 2213, 1044, 2045, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254263, 3607, 1023, 2398, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254300, 3087, 913, 2428, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254337, 3182, 283, 2476, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254374, 3194, 811, 2670, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254411, 2989, 690, 1761, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254448, 3019, 1006, 2969, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254487, 2910, 675, 2389, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254526, 3063, 921, 3027, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254565, 2999, 708, 2740, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254604, 3007, 784, 2671, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254643, 2997, 754, 2794, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254682, 3004, 1064, 2761, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254721, 2914, 1053, 2630, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254760, 2935, 1178, 2611, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254799, 2914, 1275, 2701, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254839, 2981, 1063, 2686, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
254876, 3027, 997, 2761, 73, c9226353-c767-44cf-a4f5-7d0c1ea3beac, , transisi, transisi_sujud_ke_duduk, , 
