313807, 3304, 2457, 477, 99, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
313847, 3355, 2461, 701, 99, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
313887, 3380, 2322, 678, 99, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
313927, 3370, 2135, 627, 99, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
313966, 3596, 1986, 814, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314005, 3509, 1986, 757, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314044, 3490, 2062, 848, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314083, 3453, 2114, 953, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314123, 3437, 2018, 901, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314162, 3413, 2063, 1036, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314201, 3359, 2241, 1084, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314240, 3308, 2128, 1170, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314280, 3201, 2352, 1175, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314319, 3234, 2279, 1150, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314358, 3238, 2267, 1199, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314397, 3271, 2305, 1163, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314437, 3298, 2206, 1126, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314478, 3363, 2184, 1138, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314519, 3879, 1815, 1080, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314561, 3101, 2387, 1015, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314602, 2896, 1865, 1628, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314644, 3502, 1897, 1705, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
314685, 3641, 2387, 1523, 97, 63abee1f-8851-4ea9-b9ef-bd229bcb5ee6, , transisi, transisi_sujud_ke_duduk, , 
