252526, 2831, 1026, 2838, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252562, 2838, 1050, 2849, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252598, 2813, 1044, 2882, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252633, 2829, 1048, 2907, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252669, 2782, 973, 2846, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252705, 2810, 1002, 2960, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252741, 2723, 1069, 2987, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252778, 2588, 1194, 3084, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252815, 2606, 1088, 3025, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252852, 2489, 1244, 3087, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252890, 2547, 1169, 3068, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252927, 2483, 1162, 3101, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
252964, 2506, 1122, 3108, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253001, 2508, 1137, 3115, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253039, 2379, 1174, 3116, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253076, 2453, 1064, 3141, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253113, 2405, 1150, 3159, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253151, 2389, 1084, 3198, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253187, 2361, 1145, 3172, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253224, 2310, 1086, 3216, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253261, 2331, 1137, 3284, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253298, 2298, 1177, 3246, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253335, 2263, 1146, 3313, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253371, 2174, 1246, 3331, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253408, 2241, 966, 3369, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253445, 2178, 1154, 3400, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253482, 2141, 1072, 3620, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253519, 2441, 1284, 3617, 88, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253559, 2829, 1490, 3844, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253599, 3143, 631, 4002, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253639, 3696, -18, 2942, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253679, 6118, 1319, 2399, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253719, 5007, 758, 917, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253759, 3722, -39, 1111, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253799, 3168, 62, 1602, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253839, 2257, 64, 1397, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253879, 2332, -191, 1697, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253919, 2842, 554, 1182, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253959, 4404, 2395, 3525, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
253997, 3507, 1597, 1432, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254035, 3040, 1707, 1356, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254073, 3225, 136, 1701, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254112, 2937, 530, 2310, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254150, 3061, 1060, 2729, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254188, 3126, 536, 2608, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254227, 2926, 909, 2831, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254265, 2807, 655, 2783, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254303, 2883, 417, 2876, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254342, 2824, 629, 2843, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254382, 2847, 914, 2745, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254423, 2792, 786, 2648, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254464, 2779, 735, 2792, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254504, 2791, 810, 3060, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254545, 2994, 668, 2741, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254586, 3047, 615, 2701, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254626, 3028, 535, 2714, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
254667, 3013, 575, 2667, 86, 4e746c53-4171-417d-a855-a4b8ce12dc89, , transisi, transisi_sujud_ke_duduk, , 
