131449, 3196, 1938, 1771, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131480, 3217, 1880, 1809, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131511, 3197, 1859, 1805, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131542, 3166, 1978, 1861, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131573, 3125, 1858, 1909, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131604, 3137, 1604, 2017, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131636, 3043, 1960, 2028, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131667, 2839, 2135, 2092, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131698, 2844, 1974, 2264, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131729, 2656, 2124, 2216, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131760, 2676, 2224, 2460, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131792, 2535, 2143, 2592, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131836, 2332, 2236, 2629, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131881, 2199, 2203, 2738, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131926, 2145, 2293, 2843, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
131970, 2038, 2290, 2853, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132015, 2027, 2115, 2965, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132060, 2046, 2111, 3047, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132104, 1962, 2120, 3398, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132149, 2253, 2526, 3128, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132194, 2545, 2208, 2872, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132239, 2936, 1759, 3152, 86, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132271, 4031, 1979, 2364, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132304, 6056, 1718, 1856, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132337, 5776, 1182, 1926, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132370, 4536, 1244, 966, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132403, 3534, -324, 1605, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132436, 3102, -1086, 2050, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132469, 2483, 274, 733, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132502, 2977, 1014, 2783, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132535, 3111, -1092, 2184, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132568, 1570, -1726, 896, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132601, -651, 4116, 559, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132640, 975, 1937, 6139, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132679, 1334, 1902, 4270, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132718, 1079, 2225, 2899, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
132757, 1439, 2169, 3110, 88, ab8b6180-db37-4199-b763-a05f0f6d8732, , transisi, transisi_sujud_ke_duduk, , 
