382998, 3212, 1714, 1988, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383038, 3351, 1451, 2005, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383078, 3234, 1707, 1983, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383118, 3301, 1674, 1967, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383158, 3221, 1702, 2124, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383198, 3120, 1702, 2243, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383238, 2959, 1757, 2283, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383278, 2849, 1610, 2434, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383318, 2723, 1752, 2517, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383353, 2654, 1750, 2582, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383388, 2675, 1847, 2614, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383424, 2572, 1664, 2781, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383459, 2581, 1796, 2705, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383495, 2573, 1843, 2660, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
383530, 2564, 1905, 2660, 68, a511d46a-2ac1-4fa0-9456-851febf66951, , transisi, transisi_sujud_ke_duduk, , 
