267138, 2817, 1341, 2739, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267175, 2834, 1283, 2730, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267213, 2802, 1356, 2749, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267251, 2836, 1341, 2749, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267289, 2701, 1415, 2797, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267327, 2753, 1431, 2779, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267365, 2765, 1409, 2787, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267403, 2775, 1417, 2795, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267441, 2744, 1279, 2792, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267479, 2750, 1297, 2860, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267517, 2795, 1272, 2832, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267555, 2739, 1192, 2871, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267594, 2726, 1234, 2794, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267630, 2743, 1370, 2885, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267666, 2719, 1129, 2902, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267702, 2698, 1175, 2899, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267739, 2848, 1303, 2910, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267775, 2756, 1197, 2916, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267811, 2489, 1043, 2993, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267847, 2761, 1144, 3077, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267884, 2562, 1256, 2923, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267920, 2609, 1198, 2927, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267956, 2837, 1139, 3142, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
267993, 2840, 887, 3059, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268035, 2353, 1343, 2984, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268077, 2625, 1203, 3038, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268119, 2870, 1349, 2881, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268161, 2648, 1578, 2738, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268203, 2585, 1608, 2851, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268245, 2716, 1606, 2817, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
268287, 2977, 1206, 2683, 96, 13d76e1a-e2c8-45ef-86c4-73e6721b9f4b, , transisi, transisi_sujud_ke_duduk, , 
