224315, 2952, 2563, 1420, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224353, 2883, 2512, 1352, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224391, 2868, 2497, 1456, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224429, 2807, 2546, 1545, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224467, 2786, 2518, 1628, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224505, 2670, 2523, 1752, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224543, 2562, 2616, 1892, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224581, 2200, 2678, 2148, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224619, 2158, 2779, 2270, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224657, 2029, 2742, 2415, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224695, 1964, 2696, 2402, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224733, 1900, 2728, 2428, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224771, 1680, 2828, 2442, 97, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224812, 1518, 2831, 2607, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224854, 1523, 2824, 2703, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224896, 1341, 2809, 2793, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224938, 1291, 2876, 2797, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
224980, 1290, 2662, 2900, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225021, 1373, 2776, 2925, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225063, 1242, 2600, 3081, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225105, 1664, 2421, 3087, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225147, 1548, 2313, 3201, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225189, 2194, 2515, 3115, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225223, 2455, 2327, 2807, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225257, 3558, 2715, 2718, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225291, 3787, 2343, 2275, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225325, 4173, 2031, 2952, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225359, 4348, 559, 2899, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225393, 3198, 604, 2147, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225427, 2621, 648, 2429, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225461, 2684, 690, 1433, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225495, 2990, 1044, 1786, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225529, 490, -2152, 906, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225564, 62, 1427, -310, 96, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225604, 389, 1828, 282, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225645, 425, 67, 2625, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225685, 477, 1426, 6186, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225726, 486, 2234, 4081, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225767, 517, 2500, 2774, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225807, 725, 2520, 3101, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225848, 965, 2713, 3292, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225888, 1164, 2853, 2986, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225929, 1411, 2782, 2882, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
225970, 1637, 2591, 2987, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
226006, 1816, 2393, 2966, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
226043, 1875, 2558, 2987, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
226080, 1891, 2480, 2811, 94, 3f25d42b-210b-4331-abd8-94ea90b986ba, , transisi, transisi_sujud_ke_duduk, , 
