174515, 3176, 2436, 879, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174554, 3295, 2316, 887, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174593, 3174, 2537, 913, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174632, 3295, 2308, 857, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174671, 3143, 2626, 1096, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174710, 3086, 2355, 1086, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174749, 3090, 2396, 1392, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174788, 2945, 2464, 1392, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174827, 2987, 2489, 1452, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174866, 2862, 2559, 1521, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174905, 2798, 2698, 1568, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174944, 2704, 2710, 1502, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
174986, 2661, 2681, 1620, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175028, 2523, 2915, 1753, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175070, 2443, 2658, 1962, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175112, 2470, 2758, 2037, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175154, 2349, 2709, 2072, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175196, 2435, 2732, 2094, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175238, 2339, 2662, 2079, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175280, 2452, 2724, 2143, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175322, 2357, 2640, 2089, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175364, 2406, 2467, 2168, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175406, 2674, 2493, 2262, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175448, 2752, 2741, 2342, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
175491, 3263, 2289, 2337, 89, 0208a576-8576-40ef-81d4-7d9dee8fe0e3, , transisi, transisi_sujud_ke_duduk, , 
