65260, 3327, 1794, 1732, 59, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65300, 3321, 1755, 1782, 59, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65341, 3197, 1819, 1725, 59, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65381, 3226, 1523, 1934, 59, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65422, 3064, 2016, 1899, 59, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65457, 3132, 1880, 2006, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65493, 2959, 1922, 2106, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65529, 2867, 1909, 2353, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65565, 2711, 1871, 2425, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65601, 2557, 2056, 2612, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65636, 2412, 1972, 2695, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65672, 2249, 2133, 2752, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65708, 2104, 2232, 2826, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65744, 2111, 2088, 3010, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65780, 1827, 2215, 3118, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65816, 1846, 2056, 3201, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65863, 1800, 2082, 3339, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65910, 1853, 2278, 3197, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
65957, 1845, 2047, 3327, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66004, 2114, 2532, 3399, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66051, 2547, 2141, 2808, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66098, 3217, 1012, 3355, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66145, 4157, 2178, 2425, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66192, 7825, 760, 2147, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66239, 6101, 1421, 1750, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66287, 4311, 245, 1693, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66317, 2843, 70, 745, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66348, 3021, -1011, 1037, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66378, 2719, -209, 427, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66409, 2176, 140, 316, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66439, 3891, 3745, 4625, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66470, 2766, -4045, 7180, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66500, 234, 2418, 2678, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66531, 1073, 491, 2499, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66561, 1480, 2389, 3717, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66592, 1392, 2052, 3952, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
66623, 1459, 1660, 3340, 58, 1183b8dd-4a06-4557-9bd6-33ce5065b52d, , transisi, transisi_sujud_ke_duduk, , 
