121209, 2915, 1489, 2556, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121244, 2766, 1623, 2636, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121280, 2902, 1393, 2636, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121316, 2897, 1396, 2623, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121351, 2902, 1453, 2603, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121387, 2856, 1429, 2720, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121423, 2872, 1416, 2690, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121459, 2859, 1395, 2692, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121494, 2809, 1257, 2790, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121530, 2868, 1322, 2767, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121566, 2831, 1314, 2707, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121602, 2817, 1348, 2790, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121643, 2841, 1265, 2726, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121684, 2813, 1261, 2770, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121725, 2713, 1259, 2812, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121766, 2836, 1202, 2785, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121807, 2904, 1243, 2712, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121848, 2858, 1381, 2680, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121889, 2978, 1195, 2741, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121930, 3008, 1307, 2692, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
121971, 2888, 1614, 2547, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122012, 2953, 1038, 2480, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122053, 2816, 1858, 2278, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122095, 3017, 1346, 2677, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122136, 3138, 1126, 3317, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122178, 3632, 1872, 2582, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122219, 3677, 291, 2527, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122261, 3892, 2579, 3851, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122302, 3247, 1721, 2185, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122344, 3309, 1952, 2151, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122385, 3594, 951, 1507, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122427, 3754, 844, 1213, 99, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122463, 3442, 470, 1411, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122499, 3809, 316, 1549, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122536, 3854, 725, 1754, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122572, 3791, -7, 1366, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122608, 3995, 14, 1825, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122645, 4061, 1035, 1801, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122681, 4025, 562, 1278, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122717, 3647, 468, 1008, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122754, 3534, 673, 800, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122790, 3019, 95, 2081, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122827, 3711, 1275, 1332, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122865, 3608, 800, 1313, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122903, 3780, 1240, 1422, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122941, 3814, 1283, 1280, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
122979, 3645, 969, 1465, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123017, 3564, 1294, 1684, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123055, 3477, 948, 1519, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123093, 3455, 767, 1977, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123131, 3433, 1256, 1846, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123169, 3652, 765, 1342, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123208, 3152, 833, 2778, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123244, 3323, 1423, 2291, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123281, 3116, 1168, 1958, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123318, 2719, 1856, 2662, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123354, 3239, 1580, 1981, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123391, 3138, 1398, 2735, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123428, 2190, 1143, 3107, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123465, 2854, 1646, 2538, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123501, 2821, 1640, 2499, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123538, 2610, 1473, 2688, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123575, 2147, 1718, 3068, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123612, 1777, 1899, 3023, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123650, 2239, 2103, 3243, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123689, 974, 2296, 2775, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123728, 2358, 1941, 3039, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123766, 2529, 1953, 2695, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123805, 2302, 2030, 2720, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123844, 2449, 1868, 2832, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123882, 2359, 1892, 2780, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123921, 2272, 2086, 2765, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123960, 2378, 1989, 2687, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
123999, 2511, 2094, 2651, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
124041, 2514, 2003, 2615, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
124084, 2515, 2100, 2594, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
124127, 2501, 2023, 2578, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
124169, 2596, 2117, 2565, 98, f20ce376-d48c-4bb9-8671-632be030d428, , transisi, transisi_sujud_ke_duduk, , 
