113484, 3054, 2613, 997, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113519, 3056, 2615, 993, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113555, 3052, 2567, 1014, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113590, 3049, 2582, 1025, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113626, 3070, 2552, 1002, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113661, 2977, 2577, 1070, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113697, 3135, 2485, 1112, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113732, 3002, 2606, 1236, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113768, 2834, 2764, 1230, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113803, 3062, 2469, 1309, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113839, 2887, 2685, 1295, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113874, 2767, 2757, 1481, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113910, 2766, 2672, 1564, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113946, 2632, 2676, 1622, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
113982, 2552, 2761, 1732, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114019, 2501, 2761, 1856, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114056, 2414, 2778, 1917, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114093, 2409, 2777, 1983, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114130, 2356, 2684, 2083, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114167, 2322, 2708, 2096, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114204, 2289, 2656, 2049, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114241, 2301, 2872, 2156, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114278, 2161, 2844, 2174, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114315, 2149, 2822, 2245, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114352, 2097, 2637, 2333, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114389, 2313, 2495, 2604, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114426, 1973, 2969, 2632, 97, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114465, 2375, 2659, 2734, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
114505, 2615, 2565, 2443, 98, 003f172e-1bb8-420d-ba7e-35c64c3c53ec, , transisi, transisi_sujud_ke_duduk, , 
