153874, 3061, 610, 2759, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
153908, 2998, 733, 2784, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
153942, 2941, 635, 2860, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
153976, 2762, 722, 3047, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154010, 2728, 677, 3041, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154045, 2676, 704, 3094, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154086, 2600, 731, 3139, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154128, 2532, 714, 3210, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154169, 2490, 624, 3233, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154211, 2442, 679, 3297, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154253, 2441, 706, 3313, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154294, 2392, 586, 3333, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154336, 2364, 761, 3367, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154377, 2287, 832, 3351, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154419, 2297, 721, 3374, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154461, 2206, 891, 3450, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154497, 2222, 444, 3541, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154533, 2083, 370, 3580, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154570, 2122, 446, 3620, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154606, 2415, 718, 3598, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154643, 2603, 785, 3621, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154679, 3673, 1529, 3549, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154715, 4132, 47, 3215, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154752, 4028, -55, 2189, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154788, 4159, 820, 2149, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154825, 4028, 324, 1754, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154866, 3599, 381, 1266, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154908, 3103, -51, 2069, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154950, 3555, 61, 2360, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
154992, 3541, 267, 4445, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155034, 1110, 114, 2197, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155075, 2730, 1132, 2467, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155117, 2955, 1177, 1994, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155159, 2888, 720, 2271, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155201, 2754, 238, 3091, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155243, 2696, 688, 3131, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155285, 2468, 851, 2771, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155318, 2420, 699, 3140, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155352, 2110, 792, 3618, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155386, 1957, 1036, 3215, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155420, 1830, 1163, 3413, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155454, 1783, 1278, 3560, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155488, 1556, 1247, 3344, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155522, 1472, 1251, 3458, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155556, 1608, 1244, 3858, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155590, 1404, 1123, 3455, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155624, 1207, 1112, 3520, 97, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155661, 1422, 864, 3872, 95, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155698, 1261, 837, 3730, 95, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155735, 1054, 826, 3753, 95, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155773, 1743, 1358, 3998, 95, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155810, 1576, 1263, 3506, 95, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155847, 1684, 985, 3640, 95, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155884, 1685, 1116, 3683, 95, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
155922, 1629, 1285, 3580, 95, c9f7bed8-dc42-468b-8b85-2153b68de011, , transisi, transisi_sujud_ke_duduk, , 
