224304, 1900, 1724, 3281, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224346, 1913, 1598, 3256, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224388, 2038, 1580, 3218, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224431, 2028, 1622, 3181, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224473, 2097, 1627, 3243, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224516, 2024, 1735, 3203, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224553, 1834, 1814, 3300, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224590, 1862, 1951, 3302, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224627, 1832, 1842, 3271, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224664, 1898, 1764, 3260, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224701, 1950, 1829, 3211, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224738, 1991, 1677, 3220, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224775, 2050, 1598, 3274, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224812, 2032, 1651, 3288, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224849, 1960, 1657, 3342, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224887, 1976, 1634, 3247, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224925, 1966, 1646, 3281, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
224964, 1959, 1606, 3309, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225002, 1904, 1633, 3329, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225041, 1872, 1667, 3287, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225079, 1833, 1624, 3320, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225118, 1881, 1563, 3388, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225156, 1903, 1695, 3375, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225195, 1784, 1592, 3443, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225233, 1792, 1922, 3214, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225272, 1632, 1671, 3368, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225311, 2168, 2428, 3442, 82, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225349, 1890, 2391, 3415, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225388, 2119, 1322, 3703, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225427, 2575, 1976, 3695, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225466, 2576, 1710, 4152, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225505, 3297, 1642, 3631, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225544, 3163, 995, 3180, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225583, 3476, 1042, 3042, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225622, 3368, 1023, 2848, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225661, 3196, 1104, 2456, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225700, 2742, 1205, 1409, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225738, 2560, 805, 1706, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225777, 2432, 1816, 1641, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225816, 2381, 2871, 1333, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225855, 2303, 2027, 1987, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225894, 1521, 1861, 5214, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225932, 2695, 649, 3496, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
225971, 2024, 1756, 2406, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226010, 1898, 1695, 1971, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226049, 2316, 1052, 3566, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226088, 2353, 1257, 3260, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226127, 2288, 1284, 3228, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226167, 2572, 1022, 3344, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226206, 2098, 809, 3043, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226246, 2299, 706, 3375, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226285, 2383, 905, 3268, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226325, 2824, 1363, 3443, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226364, 2594, 562, 2559, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226404, 2834, 382, 2527, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226443, 2716, 586, 2431, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226483, 3120, 424, 3477, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226523, 2900, 948, 2997, 81, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226559, 2897, 468, 2896, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226595, 2722, 659, 2570, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226631, 3081, 151, 3094, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226667, 3152, 278, 2899, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226703, 3133, 492, 2970, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226739, 2760, 443, 2750, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226775, 2869, 746, 2999, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226811, 2649, 797, 2567, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226847, 2954, 1171, 2535, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226883, 3279, 822, 2740, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
226925, 3129, 414, 2683, 79, 1957103e-5f82-4a42-a46e-45f726a3f21b, , transisi, transisi_sujud_ke_duduk, , 
