155522, 2674, 1414, 2817, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155556, 2720, 1456, 2787, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155590, 2610, 1436, 2808, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155624, 2641, 1563, 2801, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155658, 2577, 1598, 2829, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155693, 2415, 1897, 2772, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155730, 2347, 1658, 2992, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155767, 2522, 1576, 2959, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155804, 2455, 1566, 2940, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155842, 2428, 1555, 2933, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155879, 2462, 1605, 2943, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155916, 2460, 1640, 2969, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
155953, 2434, 1600, 2976, 84, 8db392f3-8c44-45b3-8dc0-1423d1c9f3e9, , transisi, transisi_sujud_ke_duduk, , 
