227494, 3000, 2426, 1340, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227533, 2916, 2234, 1599, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227572, 3105, 2515, 1503, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227611, 2586, 2545, 2182, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227650, 2643, 2534, 1740, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227688, 2691, 2445, 2083, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227727, 2649, 2308, 2089, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227766, 2582, 2423, 2213, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227805, 2552, 2351, 2211, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227844, 2505, 2364, 2288, 101, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227882, 2494, 2317, 2299, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227921, 2556, 2269, 2367, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227959, 2487, 2132, 2443, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
227998, 2556, 2214, 2479, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228036, 2519, 2233, 2461, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228075, 2510, 2188, 2435, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228113, 2617, 1990, 2538, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228152, 2771, 1880, 2530, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228190, 3054, 1329, 2594, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228229, 2725, 2279, 2686, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228268, 2828, 1766, 2944, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228305, 3999, 1717, 3213, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228343, 4819, 1322, 2534, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
228380, 4289, 1294, 577, 100, ef2f906e-79ca-473d-9d29-5a34c96423ec, , transisi, transisi_sujud_ke_duduk, , 
