147235, 2639, 2817, 1445, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147266, 2705, 2789, 1435, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147298, 2459, 2922, 1682, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147329, 2137, 3211, 1841, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147361, 2167, 2887, 1910, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147393, 2020, 3042, 2065, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147424, 1867, 2834, 2234, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147456, 1874, 2867, 2397, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147488, 1665, 2879, 2325, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147519, 1672, 2856, 2459, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147551, 1449, 3020, 2494, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147583, 1284, 2997, 2514, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147627, 1269, 2979, 2591, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147672, 945, 3016, 2634, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
147717, 687, 3059, 2734, 82, b7e14cda-867a-4464-a1b0-3faba247a191, , transisi, transisi_sujud_ke_duduk, , 
