553195, 3412, 1607, 1798, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553236, 3435, 1473, 1820, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553277, 3384, 1570, 1811, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553318, 3397, 1573, 1813, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553353, 3386, 1576, 1862, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553388, 3371, 1595, 1796, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553423, 3334, 1640, 1900, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553458, 3352, 1612, 1903, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553493, 3265, 1664, 1976, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553528, 3163, 1596, 1993, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553563, 3141, 1657, 2125, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553598, 3098, 1657, 2164, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553633, 3007, 1796, 2226, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553668, 2960, 1736, 2261, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553703, 2870, 1816, 2358, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553745, 2815, 1750, 2450, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553787, 2772, 1818, 2439, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553829, 2758, 1824, 2514, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553871, 2769, 1795, 2482, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553913, 2751, 1850, 2552, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553955, 2822, 1753, 2536, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
553997, 2609, 2047, 2511, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554039, 2746, 1787, 2559, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554081, 2621, 1771, 2757, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554124, 2481, 1746, 2838, 75, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554163, 2472, 1747, 2923, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554202, 2355, 1829, 2902, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554242, 2312, 1863, 2865, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554281, 2504, 1724, 2932, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554321, 2316, 1920, 2823, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554360, 1950, 1810, 2984, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554399, 2003, 1945, 3223, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554439, 1852, 2119, 3230, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554478, 1794, 2427, 2833, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554518, 1762, 2121, 3241, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554554, 1839, 2015, 3331, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554591, 1969, 2213, 3131, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554627, 2070, 2244, 3159, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554664, 2046, 2039, 2998, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554700, 1965, 2087, 3109, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554737, 2007, 1856, 3097, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554773, 1842, 1920, 3054, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554810, 1523, 1655, 2989, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554846, 1682, 1868, 3148, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554883, 1732, 1839, 3143, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554920, 1493, 2057, 2770, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554956, 1748, 2285, 2949, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
554993, 1877, 2467, 3152, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555030, 2308, 2285, 3386, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555067, 2684, 1200, 3679, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555104, 3167, 1578, 2983, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555140, 2914, 1128, 2818, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555177, 2959, 1180, 3130, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555214, 3088, 1366, 2843, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555251, 3359, 1480, 2866, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555288, 3144, 994, 2533, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555327, 3014, 1618, 2684, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555366, 3071, 1206, 2718, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555405, 3041, 1450, 2518, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555444, 2995, 1629, 2884, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555483, 3110, 1453, 2421, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555522, 2626, 1583, 2225, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555561, 2643, 1553, 2829, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555600, 2533, 1622, 2579, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555639, 2419, 1005, 2587, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555678, 2270, 1484, 2478, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555718, 2411, 1608, 2795, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555762, 2416, 1321, 2814, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555807, 2189, 1229, 2969, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555851, 2250, 1232, 2869, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555896, 2231, 1157, 3224, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555941, 2314, 1062, 3234, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
555985, 2338, 1184, 3313, 74, b4e6b5fa-3a99-4937-920c-f552d4fea050, , transisi, transisi_sujud_ke_duduk, , 
