157555, 2721, 2717, 1624, 81, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157596, 2737, 2653, 1571, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157637, 2692, 2748, 1745, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157679, 2622, 2596, 1657, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157720, 2553, 2709, 2008, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157762, 2546, 2638, 1846, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157803, 2435, 2684, 2073, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157844, 2440, 2582, 2091, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157886, 2270, 2666, 2198, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157927, 2088, 2824, 2242, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
157969, 2109, 2718, 2327, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158008, 1934, 2772, 2418, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158047, 1819, 2757, 2419, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158086, 1783, 2699, 2594, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158125, 1590, 2742, 2614, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158164, 1503, 2722, 2755, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158203, 1375, 2709, 2842, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158242, 1274, 2650, 2952, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158281, 1104, 2692, 3043, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158320, 1133, 2476, 3162, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158359, 1135, 2658, 3183, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158397, 989, 2511, 3481, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158436, 1226, 2914, 3499, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158475, 1589, 2744, 3553, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158514, 2343, 2433, 3954, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158553, 3472, 2372, 3706, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158592, 4421, 2403, 1964, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158631, 4969, 1616, 2366, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158670, 4699, 1037, 2084, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158709, 3815, 298, 1227, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158748, 2669, 168, 572, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158787, 2206, -276, 1218, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158823, 1536, -35, 693, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158860, -243, 12370, 10445, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158896, 1435, -3520, 1922, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158933, -1201, 3950, 3094, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
158969, -174, 3450, 4033, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
159006, 537, 2279, 3727, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
159042, 978, 2608, 2831, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
159079, 1610, 2436, 2884, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
159115, 2080, 2200, 2688, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
159152, 1928, 2294, 2408, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
159190, 2054, 2502, 2986, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
159228, 1947, 2250, 2707, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
159266, 1967, 2489, 2945, 80, 055283b1-f127-42da-8457-faee8cd40298, , transisi, transisi_sujud_ke_duduk, , 
