64279, 3765, 988, 1387, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64318, 3808, 1017, 1547, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64358, 3662, 1108, 1513, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64397, 3592, 1204, 1640, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64437, 3587, 1153, 1694, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64476, 3536, 1129, 1838, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64515, 3471, 1171, 1914, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64555, 3456, 1193, 2048, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64594, 3386, 1271, 2105, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64634, 3236, 1333, 2095, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64674, 3298, 1299, 2240, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64714, 3130, 1436, 2255, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64754, 3138, 1430, 2357, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64795, 3048, 1411, 2409, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64835, 3038, 1418, 2511, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64875, 3008, 1374, 2434, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64916, 3026, 1223, 2618, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64956, 3062, 1545, 2428, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
64996, 3024, 1559, 2577, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65037, 3038, 1491, 2473, 97, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65073, 3299, 1650, 2426, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65110, 3236, 727, 2507, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65146, 3931, -51, 2794, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65183, 4156, 2014, 2710, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65220, 5456, 1688, 427, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65256, 5565, 353, 1796, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
65293, 4477, -221, 2381, 96, 4bed7392-d013-4306-814d-02c249920c4f, , transisi, transisi_sujud_ke_duduk, , 
