275828, 2948, 2591, 1455, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
275868, 2929, 2514, 1422, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
275907, 2866, 2505, 1518, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
275947, 2816, 2458, 1609, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
275988, 2673, 2413, 1747, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276030, 2537, 2600, 1983, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276072, 2442, 2763, 2107, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276114, 2085, 2578, 2386, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276156, 2080, 2499, 2548, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276198, 1976, 2552, 2559, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276240, 1904, 2502, 2799, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276282, 1761, 2686, 2640, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276324, 1658, 2724, 2815, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276366, 1441, 2773, 2861, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276401, 1204, 2578, 3094, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276436, 1202, 2221, 3388, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276471, 1163, 2577, 3155, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276506, 1170, 2298, 3218, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276541, 1323, 2400, 3299, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276576, 1408, 2788, 3136, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276611, 1688, 2561, 3378, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276646, 2229, 2406, 3265, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276681, 2918, 1966, 3028, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276716, 4501, 2415, 2526, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276752, 5106, 1619, 2610, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
276792, 4997, 692, 2199, 86, ddb76c1f-58bc-4215-a7ee-6f6b436ead31, , transisi, transisi_sujud_ke_duduk, , 
