83905, 2956, 2499, 1489, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
83942, 2922, 2511, 1476, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
83979, 2886, 2558, 1509, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84016, 2838, 2614, 1513, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84054, 2859, 2611, 1539, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84091, 2784, 2603, 1557, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84128, 2818, 2469, 1537, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84165, 2616, 2685, 1758, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84203, 2359, 2817, 1927, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84240, 2482, 2775, 1943, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84277, 2295, 2538, 2143, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84315, 2318, 2665, 2272, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84355, 2090, 2608, 2451, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84395, 2059, 2639, 2367, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84435, 1964, 2599, 2550, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84475, 1960, 2717, 2484, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84516, 1750, 2749, 2582, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84556, 1751, 2674, 2643, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84596, 1722, 2585, 2715, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84636, 1702, 2650, 2777, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84676, 1566, 2512, 2835, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84717, 1611, 2588, 2907, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84752, 1650, 2435, 2954, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84787, 1601, 2628, 3168, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84822, 1951, 2742, 3298, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84858, 2421, 1857, 3243, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84893, 3047, 1844, 3378, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84928, 4086, 3007, 2436, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84963, 4714, 2139, 2013, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
84999, 4989, 2210, 1620, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85034, 4217, 1733, 1150, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85069, 3770, 407, 1636, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85105, 3261, 344, 1544, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85147, 3005, 954, 1063, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85189, 3004, 1168, 671, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85231, 2860, 964, 479, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85273, 2839, 924, 2157, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85315, 3034, 450, 3550, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85357, 1993, 4168, 3534, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85399, 824, 1056, 1733, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85441, 1604, 2191, 4082, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85483, 1503, 2552, 3557, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85525, 1433, 2089, 3324, 93, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85564, 1624, 2024, 3214, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85603, 1788, 1983, 3224, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85642, 1879, 1900, 3037, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85681, 2026, 1943, 3033, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85720, 2121, 2089, 2986, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85759, 2190, 2118, 3008, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85798, 2221, 2260, 2849, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85837, 2066, 2221, 2499, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85876, 2084, 2173, 2649, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85915, 2075, 2178, 2926, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85951, 1889, 2062, 3111, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
85988, 1614, 1998, 3198, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86025, 1432, 1984, 3245, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86062, 1131, 1975, 3240, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86099, 959, 1851, 3094, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86135, 1029, 1906, 3235, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86172, 1187, 1663, 2768, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86209, 1531, 2164, 2800, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86246, 2522, 3905, 4342, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86283, 2176, 1919, 3121, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86320, 1468, 1563, 2336, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86359, 2070, 2929, 2921, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86398, 2177, 2410, 3233, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86437, 2048, 1747, 2887, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86477, 1993, 2050, 2656, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86516, 2227, 2215, 2776, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86555, 2320, 2062, 2908, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
86595, 2307, 2161, 2720, 94, c14dbc0d-babb-453e-8d00-2f5985d9c495, , transisi, transisi_sujud_ke_duduk, , 
