161567, 3105, 2477, 925, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161608, 3100, 2594, 941, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161649, 3141, 2579, 942, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161686, 3245, 2591, 996, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161723, 3070, 2451, 1317, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161761, 2967, 2676, 1231, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161798, 2962, 2596, 1279, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161836, 3038, 2578, 1424, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161873, 2697, 2801, 1560, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161911, 2864, 2557, 1598, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161948, 2823, 2592, 1701, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
161986, 2775, 2648, 1608, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162023, 2726, 2724, 1680, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162061, 2636, 2658, 1691, 77, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162104, 2549, 2775, 1805, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162148, 2557, 2603, 1896, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162191, 2437, 2814, 1946, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162235, 2288, 2786, 2095, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162279, 2387, 2636, 2143, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162322, 2457, 2546, 2168, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162366, 2457, 2579, 2233, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162409, 2608, 2533, 2243, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162453, 2554, 2616, 2420, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162497, 2903, 2464, 2516, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162535, 3242, 2227, 2479, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162573, 3479, 1904, 2184, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162611, 4828, 1873, 1592, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162649, 4803, 1240, 1597, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162687, 4176, 607, 2549, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162725, 3742, 977, 2704, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162763, 3626, 1137, 2751, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162801, 3204, 302, 1951, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162839, 2601, 1068, 1750, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162877, 2190, 797, 2490, 76, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162914, 1213, 2925, 7208, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162952, 2090, -1623, 2124, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
162990, 1310, 1403, 1723, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163028, 1529, 2691, 2062, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163066, 1430, 1673, 2757, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163103, 1613, 2491, 3689, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163141, 1235, 2849, 2420, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163179, 1419, 2488, 3021, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163217, 1507, 2547, 3179, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
163255, 1537, 2718, 2874, 74, f68bda8d-906c-4e06-9c99-8d33924c5097, , transisi, transisi_sujud_ke_duduk, , 
