367321, 3488, 1542, 1629, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367360, 3453, 1548, 1674, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367400, 3477, 1508, 1659, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367440, 3490, 1514, 1626, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367480, 3493, 1481, 1754, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367520, 3476, 1490, 1764, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367560, 3424, 1490, 1816, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367600, 3366, 1549, 1835, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367640, 3326, 1523, 1807, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367680, 3293, 1522, 2007, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367720, 2962, 1884, 2163, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367755, 2877, 1564, 2342, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367790, 2679, 1846, 2530, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
367826, 2645, 1811, 2677, 77, 50f1b9a2-af55-428d-b4f9-f2840651cac5, , transisi, transisi_sujud_ke_duduk, , 
