347212, 3763, 887, 1613, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347251, 3721, 838, 1628, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347294, 3727, 838, 1594, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347337, 3694, 956, 1675, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347380, 3647, 940, 1702, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347424, 3529, 981, 1843, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347467, 3545, 1022, 2071, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347510, 3446, 1241, 2024, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347554, 3381, 1157, 2167, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347597, 3266, 1226, 2235, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347640, 3291, 1203, 2277, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347684, 3176, 1515, 2295, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347715, 3139, 1410, 2255, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347747, 3135, 1480, 2335, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347778, 2995, 1517, 2398, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347810, 3020, 1456, 2449, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347841, 2950, 1534, 2467, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347873, 2982, 1553, 2484, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347904, 2886, 1562, 2498, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347936, 2873, 1612, 2483, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347967, 2868, 1624, 2554, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
347999, 2811, 1677, 2498, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348031, 2780, 1751, 2600, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348071, 2794, 1692, 2550, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348111, 2682, 1654, 2739, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348151, 2624, 1568, 2704, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
348192, 2630, 1987, 2845, 82, 25316466-57fc-4d4e-b8f1-feabe8d42e98, , transisi, transisi_sujud_ke_duduk, , 
