350571, 3324, 844, 2239, 94, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350608, 3249, 704, 2135, 94, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350646, 3268, 1031, 2781, 94, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350683, 3175, 820, 2631, 94, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350720, 3076, 807, 2710, 94, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350758, 3004, 679, 2797, 94, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350795, 2941, 781, 2849, 94, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350833, 2883, 877, 2869, 94, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350873, 2855, 827, 2885, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350913, 2822, 823, 2938, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350953, 2740, 834, 3019, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
350993, 2699, 756, 3025, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351033, 2629, 776, 3099, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351073, 2544, 808, 3168, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351113, 2540, 811, 3193, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351153, 2421, 666, 3293, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351193, 2337, 748, 3373, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351233, 2343, 797, 3456, 92, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351270, 2295, 661, 3356, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351307, 2424, 783, 3495, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351344, 2445, 645, 3652, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351381, 2484, 414, 3683, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351418, 3041, 1021, 3507, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351456, 5287, 875, 2078, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351493, 4782, 1048, 3246, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351530, 4221, 563, 1995, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351567, 4206, 606, 1751, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351604, 4111, -232, 2115, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351642, 3625, -266, 1882, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351682, 2317, -433, 1604, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351722, 2218, 301, 792, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351762, 2111, -3203, 4825, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351802, 2901, 1539, 1578, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351843, 2298, 2511, 976, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351883, 3191, 815, 3703, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351923, 2235, 639, 3181, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
351963, 2186, 691, 2921, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352003, 2202, 1815, 3300, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352044, 1943, 1071, 3301, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352083, 1497, 825, 3461, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352122, 1294, 1416, 3479, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352161, 1320, 1224, 3591, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352200, 1254, 1524, 3700, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352239, 874, 1462, 3819, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352278, 738, 1351, 3762, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352317, 545, 1292, 3885, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352356, 286, 1287, 3906, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352395, 234, 1084, 3738, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352434, 1019, 1799, 3660, 90, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352475, 897, 1065, 3559, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352516, 1061, 1275, 3800, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352557, 1272, 1749, 3807, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352598, 1261, 1650, 3327, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352639, 1439, 1677, 3451, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352680, 1728, 1499, 3709, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352721, 1747, 1383, 3546, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352762, 1959, 1446, 3350, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352803, 2193, 1457, 3355, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352844, 2175, 1372, 3420, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352885, 2327, 1200, 3329, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352923, 2276, 1227, 3396, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
352962, 2111, 1248, 3415, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
353001, 1790, 1115, 3677, 89, c65eaa3a-5a4e-41f9-80aa-27dfea2b63a4, , transisi, transisi_sujud_ke_duduk, , 
