139891, 1589, 1689, 3668, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
139931, 1825, 1413, 3342, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
139971, 774, 2160, 3554, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140011, 192, 2112, 3483, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140051, 1252, 1974, 3480, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140092, 1272, 2003, 3452, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140134, 1135, 1869, 3519, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140177, 1215, 1759, 3539, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140219, 922, 1627, 3683, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140262, 1234, 1848, 3495, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140305, 1203, 1878, 3478, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140347, 1292, 1846, 3520, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140390, 1143, 1693, 3572, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140432, 1206, 1737, 3551, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140475, 1224, 1768, 3588, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140518, 1205, 1688, 3570, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140551, 1229, 1624, 3624, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140585, 1070, 1811, 3345, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140619, 1390, 1544, 3964, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140652, 459, 1753, 3862, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140686, 1624, 759, 4388, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140720, 3014, 2512, 3271, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140754, 5203, 2624, 3875, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140787, 4876, 1604, 4244, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140821, 5154, 1156, 2815, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140855, 4235, 1034, 1070, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140889, 3585, 504, 1271, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140931, 2869, 1081, 1259, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
140973, 2671, 1259, 1654, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141015, 2615, 2382, 1619, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141057, 2347, 11273, 3175, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141099, 2772, 4232, 2184, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141141, -259, 2670, 3, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141183, 50, 1877, 3151, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141225, 1712, 135, 3303, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141267, 1477, 2273, 3379, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141309, 894, 84, 3975, 82, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141343, 1298, 1279, 3436, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141378, 979, 1795, 2679, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141413, 1243, 560, 3378, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141447, 1771, 136, 4947, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141482, 848, 1245, 4398, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141517, 1954, 3470, 3125, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141552, 1528, 1440, 3999, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141586, 1327, -128, 4395, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141621, 1777, 1081, 3764, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141656, 1181, 715, 3083, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141691, 887, 1317, 3420, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141730, 1080, 2054, 3247, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141770, 1627, 1038, 3528, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141810, 1612, 183, 3342, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141850, 1068, 19, 3269, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141890, 1297, 827, 4792, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141930, 2824, 3115, 6446, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
141970, 1581, 1327, 4341, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142010, 674, -115, 3128, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142050, 892, 327, 6023, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
142090, 418, 273, 4944, 81, b500c244-8aad-4a30-b404-dde1d5c4355b, , transisi, transisi_sujud_ke_duduk, , 
