168054, 2874, 661, 2988, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168091, 2662, 961, 3115, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168128, 2549, 1162, 3115, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168165, 2428, 1104, 3170, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168202, 2299, 1114, 3261, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168239, 2286, 1030, 3287, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168276, 2142, 1176, 3364, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168313, 2126, 1233, 3313, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168350, 2102, 1183, 3342, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168387, 2042, 868, 3532, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168424, 1989, 960, 3465, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168463, 1802, 981, 3431, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168502, 1860, 874, 3557, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168541, 1843, 1048, 3555, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168581, 1938, 527, 3657, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168620, 1834, 548, 3753, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168659, 1752, 867, 3748, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168699, 1910, 701, 3693, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168738, 2405, 1139, 3717, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168777, 3422, 744, 2380, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
168817, 3744, 1016, 3022, 93, 3258a117-5afd-44ee-93f7-a952366f6206, , transisi, transisi_sujud_ke_duduk, , 
