156248, 2879, 2110, 2057, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156289, 2914, 2110, 2062, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156330, 2929, 2083, 2084, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156371, 2984, 2072, 2003, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156413, 3119, 1887, 1973, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156449, 2928, 1989, 2001, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156485, 2940, 2062, 2160, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156522, 2867, 2007, 2147, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156558, 2909, 2003, 2127, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156595, 2976, 1979, 2142, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156631, 2771, 2087, 2164, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156668, 2789, 2088, 2295, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156704, 2770, 2067, 2332, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156741, 2738, 2011, 2341, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156777, 2677, 2072, 2432, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156814, 2601, 2125, 2408, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156854, 2577, 2176, 2451, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156894, 2447, 2188, 2472, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156934, 2445, 2169, 2603, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
156974, 2416, 2099, 2622, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157014, 2460, 2025, 2680, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157054, 2323, 2063, 2754, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157094, 2355, 1879, 2741, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157134, 2322, 2174, 2755, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157174, 2452, 2119, 2790, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157215, 3116, 2106, 2608, 80, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157250, 3823, 1494, 2597, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157286, 4168, 1912, 2807, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
157321, 5271, 1216, 2270, 81, 0de81321-3e49-4baf-89bd-3cf8f1f46f9d, , transisi, transisi_sujud_ke_duduk, , 
