99932, 3500, 1899, 924, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
99965, 3460, 2004, 1111, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
99998, 3321, 2039, 1218, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100031, 3361, 2109, 1378, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100064, 3092, 2082, 1550, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100097, 3085, 2086, 1783, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100135, 2925, 2278, 1757, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100174, 2894, 2276, 1897, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100212, 2825, 2405, 1933, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100251, 2750, 2451, 1924, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100290, 2620, 2477, 1992, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100328, 2593, 2558, 2104, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100367, 2327, 2482, 2135, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100405, 2442, 2496, 2271, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100444, 2330, 2505, 2378, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
100483, 2324, 2494, 2439, 75, 7afb3730-4292-4a36-af09-5bd2fb7d69ac, , transisi, transisi_sujud_ke_duduk, , 
