282034, 1621, 1511, 3536, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282069, 1945, 1605, 3849, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282104, 1707, 1603, 3302, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282142, 1457, 2094, 3295, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282180, 1222, 2230, 3452, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282218, 1151, 1453, 3722, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282256, 1316, 1598, 3637, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282294, 1285, 1500, 3623, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282332, 1403, 1450, 3552, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282370, 1314, 1503, 3688, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282408, 1171, 1618, 3622, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282446, 1401, 1452, 3791, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282484, 1352, 1289, 3748, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282523, 1490, 1252, 3780, 85, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282562, 1466, 1346, 3669, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282602, 1489, 1052, 3618, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282641, 1556, 1052, 3778, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282681, 1428, 1202, 3497, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282721, 2012, 1335, 4316, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
282760, 2089, 1195, 3344, 84, f2a967c5-6dd7-4645-8e40-b5787bbb0f25, , transisi, transisi_sujud_ke_duduk, , 
