126734, 3074, 2496, 1225, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
126769, 3080, 2411, 1309, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
126804, 3047, 2513, 1277, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
126840, 3031, 2457, 1324, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
126879, 2933, 2575, 1333, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
126919, 2889, 2583, 1454, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
126959, 2776, 2577, 1493, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
126999, 2613, 2685, 1713, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127039, 2508, 2591, 1940, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127079, 2167, 2819, 1995, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127119, 2061, 2903, 2107, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127159, 2224, 3030, 2102, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127199, 2002, 3052, 2083, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127239, 2068, 2989, 1931, 85, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127275, 2027, 3047, 1994, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127311, 2338, 3217, 1659, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127347, 1620, 3361, 2313, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127383, 1242, 3545, 2147, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127419, 1447, 2708, 2571, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127456, 2956, 3217, 1267, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127492, 1424, 3116, 2511, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127528, 1607, 3008, 2274, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
127564, 2059, 3509, 1819, 83, 6b166a8e-9db1-41a0-b3af-9432793bf552, , transisi, transisi_sujud_ke_duduk, , 
