101320, 2751, 676, 3041, 95, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101358, 2648, 757, 3126, 95, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101395, 2568, 696, 3202, 95, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101432, 2517, 714, 3195, 95, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101469, 2453, 673, 3304, 95, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101507, 2447, 792, 3332, 95, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101544, 2327, 766, 3349, 95, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101581, 2262, 707, 3430, 95, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101619, 2253, 766, 3448, 95, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101659, 2178, 653, 3451, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101700, 2095, 740, 3497, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101740, 2105, 768, 3527, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101781, 2086, 665, 3555, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101822, 2179, 598, 3532, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101862, 2243, 857, 3556, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101903, 2236, 672, 3490, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101943, 2438, 683, 3512, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
101984, 2932, 645, 4120, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102025, 3944, 1049, 3467, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102064, 4279, 304, 3286, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102104, 4245, 552, 3386, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102143, 3998, 822, 2582, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102183, 3872, 794, 1902, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102223, 3392, 488, 1405, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102262, 2823, -189, 1762, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102302, 2583, 238, 2362, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102342, 2978, 132, 2389, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102381, 2743, -116, 2312, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102421, 2844, 627, 2792, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102461, 3390, 1045, 2656, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102496, 2886, 1096, 2576, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102532, 2979, 872, 2813, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102567, 2649, 1037, 2697, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102603, 2622, 860, 3234, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102639, 2377, 916, 2901, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102674, 2128, 1250, 2890, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102710, 1854, 1167, 3369, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102745, 1656, 1220, 3385, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102781, 1333, 1523, 3282, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102817, 1141, 1650, 3389, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102857, 1155, 1668, 3787, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102897, 1035, 1623, 3683, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102937, 719, 1548, 3391, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
102978, 698, 1804, 3535, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103018, 726, 1434, 3873, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103058, 502, 1317, 3681, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103099, 1215, 1826, 3774, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103139, 1035, 1458, 3568, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103179, 1084, 1375, 3652, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103220, 1229, 1461, 3790, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103255, 1198, 1562, 3581, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103290, 1297, 1700, 3487, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103326, 1537, 1685, 3613, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103361, 1511, 1566, 3434, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103397, 1628, 1481, 3446, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103432, 1621, 1360, 3556, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103468, 1661, 1157, 3551, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103503, 1840, 1252, 3783, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103539, 1810, 1313, 3485, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103574, 1911, 1276, 3606, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103610, 1920, 1391, 3610, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103651, 1479, 1129, 3680, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103692, 1502, 1303, 3694, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
103733, 1449, 1358, 3645, 94, fa7bf15a-7eba-4998-9b64-825b8c281cea, , transisi, transisi_sujud_ke_duduk, , 
