252970, 2923, 1617, 2520, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253010, 2994, 1438, 2552, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253050, 2811, 1464, 2658, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253090, 2885, 1414, 2619, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253130, 2890, 1405, 2625, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253170, 2921, 1397, 2629, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253211, 2881, 1383, 2652, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253252, 2900, 1361, 2656, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253294, 2892, 1257, 2645, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253336, 2811, 1473, 2643, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253377, 2868, 1337, 2645, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253419, 2863, 1425, 2679, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253461, 2887, 1791, 2587, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253502, 2834, 1459, 2686, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253544, 2809, 1445, 2624, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253586, 2865, 1364, 2627, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253628, 2896, 1503, 2609, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253662, 2885, 1549, 2499, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253697, 2845, 1120, 2698, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253732, 2861, 1410, 2603, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253766, 2876, 1573, 2490, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253801, 2989, 1547, 2498, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253836, 3223, 1162, 2708, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253871, 3040, 1776, 2272, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253905, 3164, 1248, 2271, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253940, 3045, 1676, 2366, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
253975, 3032, 1381, 2229, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254010, 3273, 1883, 2383, 104, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254052, 3390, 1376, 2457, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254095, 3281, 1255, 2105, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
254137, 3426, 1864, 2119, 103, 9c3089a0-7e49-49ca-a2ee-b42e4e4a28fa, , transisi, transisi_sujud_ke_duduk, , 
