130386, 3173, 1943, 1809, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130420, 3227, 1833, 1860, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130454, 3207, 1867, 1885, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130488, 3206, 1819, 1911, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130522, 3225, 1813, 1861, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130556, 3215, 1842, 1842, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130591, 3300, 1844, 1766, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130631, 3258, 1948, 1719, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130672, 3262, 1901, 1751, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130713, 3235, 1899, 1762, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130754, 3268, 1884, 1736, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130795, 3280, 1881, 1754, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130836, 3251, 1897, 1758, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130877, 3258, 1877, 1763, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130918, 3273, 1907, 1759, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
130959, 3237, 1894, 1750, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131000, 3239, 1867, 1747, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131044, 3260, 1906, 1758, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131089, 3211, 1903, 1757, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131134, 3232, 1883, 1764, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131179, 3243, 1869, 1773, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131224, 3241, 1925, 1750, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131269, 3215, 1885, 1763, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131314, 3211, 1910, 1778, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131359, 3235, 1906, 1772, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
131404, 3215, 1930, 1768, 86, 44434209-4bc8-48fb-9bdc-5e932d021548, , sujud, sujud, , 
