97877, 2134, 2133, 2836, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
97909, 2125, 2163, 2818, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
97941, 2132, 2160, 2837, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
97974, 2115, 2137, 2863, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98013, 2098, 2139, 2841, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98053, 2090, 2188, 2851, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98092, 2128, 2097, 2853, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98132, 2080, 2178, 2845, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98172, 2103, 2147, 2851, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98211, 2126, 2124, 2855, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98251, 2105, 2156, 2858, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98290, 2135, 2130, 2853, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98330, 2126, 2136, 2873, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98370, 2106, 2119, 2847, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98410, 2127, 2107, 2866, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98451, 2099, 2142, 2862, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98492, 2121, 2128, 2872, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98532, 2125, 2150, 2878, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98573, 2068, 2154, 2867, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98614, 2111, 2168, 2863, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98654, 2087, 2157, 2859, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98695, 2085, 2168, 2830, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98736, 2097, 2184, 2848, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98777, 2096, 2187, 2843, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98812, 2094, 2201, 2845, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98848, 2077, 2151, 2846, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98884, 2101, 2216, 2820, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98920, 2094, 2183, 2844, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98956, 2096, 2163, 2830, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
98992, 2068, 2229, 2816, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99028, 2091, 2184, 2831, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99064, 2078, 2229, 2849, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99100, 2071, 2213, 2837, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99136, 2086, 2213, 2832, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99172, 2084, 2229, 2815, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99216, 2060, 2191, 2839, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99261, 2065, 2206, 2856, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99305, 2065, 2207, 2827, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99350, 2083, 2205, 2842, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99394, 2083, 2214, 2826, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
99439, 2053, 2214, 2823, 92, 36451eab-3c2d-4b59-8fa2-ad65e714f06d, , sujud, sujud, , 
