71830, 2684, 1375, 2800, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
71871, 2727, 1441, 2772, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
71912, 2724, 1401, 2791, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
71953, 2744, 1410, 2781, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
71994, 2750, 1426, 2764, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72036, 2759, 1405, 2765, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72078, 2772, 1406, 2774, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72120, 2750, 1416, 2782, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72162, 2772, 1372, 2782, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72205, 2738, 1386, 2768, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72247, 2747, 1394, 2780, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72289, 2758, 1406, 2777, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72331, 2739, 1393, 2777, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72373, 2772, 1423, 2766, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72416, 2770, 1401, 2765, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72449, 2781, 1386, 2754, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72483, 2771, 1387, 2748, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72516, 2758, 1389, 2776, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72550, 2801, 1349, 2753, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72583, 2778, 1414, 2741, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72617, 2812, 1384, 2745, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72650, 2783, 1375, 2741, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72684, 2801, 1421, 2763, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72717, 2807, 1387, 2751, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72751, 2819, 1383, 2735, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72785, 2808, 1396, 2753, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72827, 2810, 1429, 2725, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72870, 2760, 1458, 2738, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72912, 2791, 1435, 2746, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72955, 2785, 1456, 2716, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
72998, 2760, 1486, 2728, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73040, 2774, 1475, 2719, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73083, 2789, 1457, 2711, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73125, 2790, 1468, 2721, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73168, 2777, 1440, 2711, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73211, 2771, 1494, 2720, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73247, 2809, 1435, 2712, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73284, 2795, 1446, 2734, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73321, 2789, 1455, 2720, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73358, 2798, 1445, 2738, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73395, 2800, 1457, 2714, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73431, 2811, 1419, 2707, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73468, 2800, 1424, 2734, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73505, 2785, 1436, 2713, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73542, 2790, 1449, 2713, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73579, 2789, 1451, 2721, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73615, 2798, 1443, 2713, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73652, 2795, 1463, 2717, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73689, 2816, 1454, 2713, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73726, 2788, 1450, 2695, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73763, 2788, 1471, 2706, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73800, 2785, 1447, 2706, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73837, 2782, 1458, 2722, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73874, 2790, 1471, 2712, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73911, 2786, 1465, 2724, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73948, 2788, 1446, 2707, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
73985, 2799, 1437, 2700, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74027, 2792, 1463, 2708, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74070, 2802, 1423, 2707, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74112, 2792, 1444, 2718, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74155, 2797, 1481, 2695, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74197, 2804, 1441, 2720, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74240, 2794, 1429, 2721, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
74282, 2769, 1440, 2715, 83, 5daf9a09-0060-4879-98f5-986ec4a33d67, , sujud, sujud, , 
